,Ingredients,Prices,Weights,Price per unit
0,ANDREA'S,4.39,13.0,0.3376923076923077
1,APPLEBEE'S,0.0,0.0,10000.0
2,ARBY'S,6.99,22.0,0.31772727272727275
3,ARCHWAY Home Style Cookies,5.49,9.25,0.5935135135135136
4,AUSTIN,0.0,0.0,10000.0
5,Abiyuch,0.0,0.0,10000.0
6,Acerola,5.99,4.2,1.4261904761904762
7,Acerola juice,11.98,32.0,0.374375
8,Acorn stew (Apache),0.0,0.0,10000.0
9,Agave,6.53,11.75,0.5557446808510639
10,Agutuk,0.0,0.0,10000.0
11,Alcoholic Beverage,6.89,11.2,0.6151785714285715
12,Alcoholic beverage,6.89,11.2,0.6151785714285715
13,Alcoholic beverages,4.09,25.0,0.1636
14,Alfalfa seeds,8.69,12.0,0.7241666666666666
15,Amaranth grain,16.59,24.0,0.69125
16,Amaranth leaves,4.69,8.0,0.58625
17,Animal fat,16.99,11.0,1.5445454545454544
18,Apple juice,5.79,64.0,0.09046875
19,Apples,1.79,1.0,1.79
20,Applesauce,3.09,24.0,0.12875
21,Apricot nectar,1.49,11.3,0.131858407079646
22,Apricots,8.09,11.0,0.7354545454545455
23,Arrowhead,8.99,12.0,0.7491666666666666
24,Arrowroot,8.69,16.0,0.543125
25,Arrowroot flour,8.69,16.0,0.543125
26,Artichokes,2.29,1.0,2.29
27,Artificial Blueberry Muffin Mix,5.09,17.1,0.29766081871345024
28,Arugula,0.0,0.0,10000.0
29,Ascidians (tunughnak) (Alaska Native),0.0,0.0,10000.0
30,Asparagus,4.17,1.0,4.17
31,Avocados,1.49,1.0,1.49
32,BANQUET,2.89,7.4,0.39054054054054055
33,BARBARA DEE,4.99,8.0,0.62375
34,BEAR NAKED,6.09,12.0,0.5075
35,BURGER KING,17.29,32.0,0.5403125
36,Babyfood,2.89,3.5,0.8257142857142857
37,Bacon,5.79,16.0,0.361875
38,Bacon and beef sticks,10.99,10.0,1.099
39,Bacon bits,4.09,3.0,1.3633333333333333
40,Bagels,4.59,20.0,0.22949999999999998
41,Baking chocolate,4.29,4.0,1.0725
42,Balsam-pear (bitter gourd),0.0,0.0,10000.0
43,Bamboo shoots,2.39,8.0,0.29875
44,Bananas,0.28,1.0,0.28
45,Barbecue loaf,9.8,13.6,0.7205882352941178
46,Barley,1.62,16.0,0.10125
47,Barley flour or meal,3.99,20.0,0.1995
48,Barley malt flour,3.99,20.0,0.1995
49,Basil,3.26,0.66,4.939393939393939
50,Beans,1.09,15.5,0.0703225806451613
51,Bear,6.99,0.7,9.985714285714286
52,Beef,7.23,1.0,7.23
53,Beef Pot Pie,2.09,7.0,0.29857142857142854
54,Beef composite,16.01,1.0,16.01
55,Beef sausage,5.99,12.0,0.4991666666666667
56,Beef stew,14.59,1.0,14.59
57,Beerwurst,8.49,12.0,0.7075
58,Beet greens,3.49,1.0,3.49
59,Beets,3.49,1.0,3.49
60,Beverage,7.49,11.5,0.6513043478260869
61,Beverages,21.76,8.4,2.5904761904761906
62,Biscuits,5.79,16.3,0.35521472392638037
63,Bison,12.09,16.0,0.755625
64,Blackberries,4.59,6.0,0.765
65,Blackberry juice,5.79,64.0,0.09046875
66,Blood sausage,8.96,1.0,8.96
67,Blueberries,6.89,1.0,6.89
68,Bockwurst,8.99,12.0,0.7491666666666666
69,Bologna,4.99,16.0,0.311875
70,Borage,13.07,8.0,1.63375
71,Boysenberries,0.0,0.0,10000.0
72,Bratwurst,8.16,1.0,8.16
73,Braunschweiger (a liver sausage),0.0,0.0,10000.0
74,Bread,2.29,22.0,0.1040909090909091
75,Bread crumbs,6.39,24.0,0.26625
76,Bread sticks,4.59,10.5,0.4371428571428571
77,Bread stuffing,3.99,12.0,0.3325
78,Breadfruit,5.99,1.25,4.792
79,Breakfast bar,21.14,1.3,16.26153846153846
